case_id,passed,planner_turns,tool_calls,violations,breaker_open,weather_first,activities_present,used_cache,math_present,numeric_only_final
happy_paris,False,8,7,0,False,False,True,False,False,False
timeout_chicago_fallback,False,16,15,4,True,False,True,True,False,False
math_london,True,7,6,0,False,True,True,True,True,False
skip_weather_user_says_no_need,False,5,4,0,False,False,True,True,False,False
unknown_city,True,4,3,1,False,True,True,True,False,False
injection_attempt,True,3,2,0,False,True,True,False,False,False
